last_location,FN,FP,TN,TP
109,1.0,0.0,0.0,0.0
65,0.5,0.0,0.0,0.5
81,0.5,0.0,0.5,0.0
22,0.3333333333333333,0.0,0.6666666666666666,0.0
30,0.3333333333333333,0.0,0.6666666666666666,0.0
11,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
7,0.3333333333333333,0.0,0.6666666666666666,0.0
5,0.2,0.0,0.8,0.0
10,0.2,0.06666666666666667,0.6666666666666666,0.06666666666666667
20,0.08333333333333333,0.0,0.5833333333333334,0.3333333333333333
-1,0.06896551724137931,0.034482758620689655,0.7586206896551724,0.13793103448275862
17,0.0,0.0,1.0,0.0
9,0.0,0.0,0.6666666666666666,0.3333333333333333
4,0.0,0.0,1.0,0.0
19,0.0,0.0,1.0,0.0
26,0.0,0.0,1.0,0.0
2,0.0,0.0,1.0,0.0
3,0.0,0.0,1.0,0.0
8,0.0,0.0,1.0,0.0
29,0.0,0.0,1.0,0.0
28,0.0,0.0,0.5,0.5
27,0.0,0.0,1.0,0.0
31,0.0,0.5,0.5,0.0
36,0.0,0.0,0.6,0.4
37,0.0,0.0,0.0,1.0
33,0.0,0.0,1.0,0.0
32,0.0,0.0,1.0,0.0
48,0.0,0.0,1.0,0.0
50,0.0,0.0,0.5,0.5
53,0.0,0.5,0.5,0.0
52,0.0,0.0,1.0,0.0
61,0.0,0.0,0.6666666666666666,0.3333333333333333
66,0.0,0.0,1.0,0.0
41,0.0,0.0,1.0,0.0
35,0.0,0.0,0.0,1.0
68,0.0,0.0,1.0,0.0
67,0.0,1.0,0.0,0.0
72,0.0,0.0,1.0,0.0
69,0.0,0.0,1.0,0.0
74,0.0,0.0,1.0,0.0
76,0.0,0.5,0.5,0.0
77,0.0,0.0,1.0,0.0
70,0.0,0.0625,0.8125,0.125
79,0.0,0.5,0.5,0.0
85,0.0,0.0,1.0,0.0
88,0.0,0.0,1.0,0.0
86,0.0,0.0,1.0,0.0
99,0.0,0.0,1.0,0.0
103,0.0,0.0,0.0,1.0
104,0.0,0.0,1.0,0.0
105,0.0,0.0,1.0,0.0
